2025-09-11 12:34:45 | INFO | root | [test_login.py:14] - TestLogin
2025-09-11 12:34:45 | INFO | root | [test_login.py:15] - Verifying the valid login
2025-09-11 12:39:14 | INFO | automationLogger | [test_login.py:14] - TestLogin
2025-09-11 12:39:14 | INFO | automationLogger | [test_login.py:15] - Verifying the valid login
2025-09-11 13:15:31 | INFO | automationLogger | [test_login.py:14] - TestLogin
2025-09-11 13:15:31 | INFO | automationLogger | [test_login.py:15] - Verifying the valid login
2025-09-11 13:28:07 | INFO | automationLogger | [test_login.py:14] - TestLogin
2025-09-11 13:28:07 | INFO | automationLogger | [test_login.py:15] - Verifying the valid login
2025-09-11 13:38:03 | INFO | automationLogger | [test_login.py:14] - TestLogin
2025-09-11 13:38:03 | INFO | automationLogger | [test_login.py:15] - Verifying the valid login
2025-09-11 13:39:46 | INFO | automationLogger | [test_login.py:14] - TestLogin
2025-09-11 13:39:46 | INFO | automationLogger | [test_login.py:15] - Verifying the valid login
2025-09-11 13:40:06 | INFO | automationLogger | [test_login.py:14] - TestLogin
2025-09-11 13:40:06 | INFO | automationLogger | [test_login.py:15] - Verifying the valid login
2025-09-11 13:40:49 | INFO | automationLogger | [test_login.py:14] - TestLogin
2025-09-11 13:40:49 | INFO | automationLogger | [test_login.py:15] - Verifying the valid login
2025-09-11 13:42:49 | INFO | automationLogger | [test_login.py:14] - TestLogin
2025-09-11 13:42:49 | INFO | automationLogger | [test_login.py:15] - Verifying the valid login
2025-09-11 15:24:31 | INFO | automationLogger | [test_login.py:16] - TestLogin
2025-09-11 15:24:31 | INFO | automationLogger | [test_login.py:17] - Verifying the valid login
2025-09-11 15:26:14 | INFO | automationLogger | [test_login.py:14] - TestLogin
2025-09-11 15:26:14 | INFO | automationLogger | [test_login.py:15] - Verifying the valid login
2025-09-11 15:59:28 | INFO | automationLogger | [test_login.py:14] - TestLogin
2025-09-11 15:59:28 | INFO | automationLogger | [test_login.py:15] - Verifying the valid login
2025-09-11 15:59:31 | INFO | automationLogger | [test_login.py:24] - Successfully loggedin
2025-09-11 16:01:33 | INFO | automationLogger | [test_login.py:14] - TestLogin
2025-09-11 16:01:33 | INFO | automationLogger | [test_login.py:15] - Verifying the valid login
2025-09-11 16:01:36 | INFO | automationLogger | [test_login.py:24] - Successfully loggedin
2025-09-11 16:10:14 | INFO | automationLogger | [test_login.py:14] - TestLogin
2025-09-11 16:10:14 | INFO | automationLogger | [test_login.py:15] - Verifying the valid login
2025-09-11 16:10:16 | INFO | automationLogger | [test_login.py:24] - Successfully loggedin
2025-09-11 16:10:45 | INFO | automationLogger | [test_login.py:14] - TestLogin
2025-09-11 16:10:45 | INFO | automationLogger | [test_login.py:15] - Verifying the valid login
2025-09-11 16:15:26 | INFO | automationLogger | [test_login.py:17] - TestLogin
2025-09-11 16:15:26 | INFO | automationLogger | [test_login.py:18] - Verifying the valid login
2025-09-11 16:15:28 | INFO | automationLogger | [test_login.py:35] - Successfully loggedin
2025-09-11 16:16:16 | INFO | automationLogger | [test_login.py:14] - TestLogin
2025-09-11 16:16:16 | INFO | automationLogger | [test_login.py:15] - Verifying the valid login
2025-09-11 16:16:19 | INFO | automationLogger | [test_login.py:24] - Successfully loggedin
